source.name,author,news_count
Plos.org,"Maïlyn Yates, Isabelle Marois, Edlie St-Hilaire, Daryl A. Ronato, Billel Djerir, Chloé Brochu, Théo Morin, Ian Hammond-Martel, Sari Gezzar-Dandashi, Lisa Casimir, Elliot Drobetsky, Laurent Cappadocia, Jean-Yves Masson, Hugo Wurtele, Alexandre Maréchal",1
Plos.org,"Peng Chen, Jin Zhou, Huan Liu, Erchi Zhou, Boxiao He, Yankang Wu, Hongjian Wang, Zaiqiao Sun, Chonil Paek, Jun Lei, Yongshun Chen, Xinghua Zhang, Lei Yin",1
Plos.org,"Shang Rumin, Xiangming Han, Cui Zeng, Fei Lv, Rong Fang, Rongrong Gong, Xiaochang Tian, Xiangwu Ding",1
Plos.org,"Xu Luo, Rui Wang, YunXiang Zhou, Wen Xie",1
Plos.org,"Zhihui Liu, Xiyuan Zhang, Man Xu, Jason J. Hong, Amanda Ciardiello, Haiyan Lei, Jack F. Shern, Carol J. Thiele",2
Psychology Today,Amelia Kelley Ph.D.,1
Psychology Today,Robert T Muller Ph.D.,1
Psychology Today,"Susan Krauss Whitbourne PhD, ABPP",1
Pycoders.com,PyCoder’s Weekly,1
Quartz India,Bruce Gil,2
Queerty.com,David Hudson,1
Raw Story,Agence France-Presse,2
Raw Story,DPA International,1
Raw Story,The Conversation,2
ReadWrite,Suswati Basu,1
Realpython.com,Real Python,1
Royal Society of Chemistry,"Meng Yu, Xiaohui Tang, Zhenhua Li, Weidong Wang, Shaopeng Wang, Min Li, Qiuliyang Yu, Sijia Xie, Xiaolei Zuo, Chang Chen",1
Royal Society of Chemistry,"Puja Sandbhor, Pranoti Palkar, Sakshi Bhat, Geofrey John, Jayant S. Goda",1
ScienceAlert,"Christopher Rudge, The Conversation",1
ScienceAlert,Michelle Starr,1
ScienceAlert,Mike McRae,1
ScienceAlert,Rebecca Dyer,1
Sciencebasedmedicine.org,David Gorski,1
Scientific American,Joseph Osmundson,2
Shtfplan.com,Mac Slavo,1
Singularity Hub,Shelly Fan,6
Sky.com,James Robinson,1
Sputnikglobe.com,Chimauchem  Nwosu,1
Study Finds,StudyFinds,1
Substack.com,Bess Stillman,1
Survivalblog.com,SurvivalBlog Contributor,1
Techdirt,Tim Cushing,1
The Atlantic,Sarah Zhang,3
The Boston Globe,Alexa Gagosz,1
The Boston Globe,Andrea Baccarelli,1
The Boston Globe,Jonathan Saltzman,2
The Conversation Africa,"Christopher Rudge, Law lecturer, University of Sydney",1
The Conversation Africa,"Shai Carmi, Associate Professor of Population and Statistical Genetics, Hebrew University of Jerusalem, Harald Ringbauer, Group Leader, Department of Archaeogenetics, Max Planck Institute for Evolutionary Anthropology",1
The Daily Caller,Mariane Angela,1
The Indian Express,Nitendra Pal Singh,1
The Indian Express,PTI,2
The New York Review of Books,Jerome Groopman,1
The Times of India,PTI,1
Theness.com,Steven Novella,2
Time,Gerry Smith/Bloomberg,1
Uol.com.br,Agência Fapesp,1
Upenn.edu,Victor Mair,1
WebMD,Kathleen Doheny,1
WebMD,Lisa Mulcahy,1
WebMD,https://www.facebook.com/WebMD,3
Wikipedia.org,Contributors to Wikimedia projects,2
Yahoo Entertainment,AFP,1
Yahoo Entertainment,Crystal Tse,1
Yahoo Entertainment,GuruFocus Research,2
Yahoo Entertainment,Sheryar Siddiq,1
Yahoo Entertainment,TipRanks,1
